ID,Description,NES,pvalue,p.adjust,GeneRatio,BgRatio,geneID,geneName,Count,BG,Study,Freq,total_study,celltype,regulators,-log10(Padj),Study_1,Study_2,Cell_line
BIOCARTA_FAS_PATHWAY,FAS PATHWAY,1.57505498,1.76E-05,0.001716739,Apr-91,30/17332,841/355/8772/5591,CASP8/FAS/FADD/PRKDC,4,30,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,2.765295624,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_1059683,Interleukin-6 signaling,4.156599154,2.24E-05,0.001889382,Mar-91,11/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,11,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,2.723680265,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_3371378,Regulation by c-FLIP,1.444157871,2.24E-05,0.001889382,Mar-91,11/17332,841/355/8772,CASP8/FAS/FADD,3,11,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.723680265,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_69416,Dimerization of procaspase-8,1.444157871,2.24E-05,0.001889382,Mar-91,11/17332,841/355/8772,CASP8/FAS/FADD,3,11,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.723680265,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9020956,Interleukin-27 signaling,4.156599154,2.24E-05,0.001889382,Mar-91,11/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,11,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,2.723680265,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05145,Toxoplasmosis,5.684429486,2.71E-05,0.002212462,Jun-91,112/17332,6772/3460/3459/3716/3717/841,STAT1/IFNGR2/IFNGR1/JAK1/JAK2/CASP8,6,112,2022_NatureCommunication_Frey_KPC_OTI,16,19,Tcells,pos,2.655124275,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_8984722,Interleukin-35 Signalling,4.156599154,2.98E-05,0.002347688,Mar-91,12/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,12,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,2.62935967,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_5218900,CASP8 activity is inhibited,1.444157871,3.85E-05,0.00294538,Mar-91,13/17332,841/355/8772,CASP8/FAS/FADD,3,13,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.530858698,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_MHC_PATHWAY,MHC PATHWAY,1.240278049,4.89E-05,0.003621254,Mar-91,14/17332,6890/6891/567,TAP1/TAP2/B2M,3,14,2022_NatureCommunication_Frey_KPC_OTI,15,19,Tcells,pos,2.441141053,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05140,Leishmaniasis,5.626075088,5.24E-05,0.003766631,May-91,77/17332,6772/3460/3459/3716/3717,STAT1/IFNGR2/IFNGR1/JAK1/JAK2,5,77,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,2.424046899,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,"POSITIVE REGULATION OF HOMOTYPIC 
CELL CELL ADHESION",2.845721297,6.09E-05,0.004251689,Mar-91,15/17332,3716/3717/288,JAK1/JAK2/ANK3,3,15,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,2.371438538,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_PML_PATHWAY,PML PATHWAY,1.063707644,9.03E-05,0.006130823,Mar-91,17/17332,355/5371/3265,FAS/PML/HRAS,3,17,2022_NatureCommunication_Frey_KPC_OTI,7,19,Tcells,pos,2.21248121,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_RESPONSE_TO_ANTIBIOTIC,RESPONSE TO ANTIBIOTIC,3.186052731,9.80E-05,0.006478016,Apr-91,46/17332,3716/3717/841/23028,JAK1/JAK2/CASP8/KDM1A,4,46,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,2.188557957,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_IL6_7_PATHWAY,IL6 7 PATHWAY,4.068281785,0.000106722,0.006765277,Apr-91,47/17332,6772/3716/3717/1051,STAT1/JAK1/JAK2/CEBPB,4,47,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,2.169714407,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_140534,"Caspase activation via Death 
Receptors in the presence 
of ligand",1.444157871,0.000107912,0.006765277,Mar-91,18/17332,841/355/8772,CASP8/FAS/FADD,3,18,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.169714407,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,"REGULATION OF MYELOID CELL 
DIFFERENTIATION",2.798958638,0.000115209,0.006939858,Jul-91,209/17332,6772/841/1051/8772/5591/133522/567,STAT1/CASP8/CEBPB/FADD/PRKDC/PPARGC1B/B2M,7,209,2022_NatureCommunication_Frey_KPC_OTI,8,19,Tcells,pos,2.158649412,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_1236974,ER-Phagosome pathway,1.754263174,0.000116374,0.006939858,May-91,91/17332,6890/6891/23198/6892/567,TAP1/TAP2/PSME4/TAPBP/B2M,5,91,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,2.158649412,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04658,"Th1 and Th2 cell 
differentiation",5.626075088,0.000122556,0.007093804,May-91,92/17332,6772/3460/3459/3716/3717,STAT1/IFNGR2/IFNGR1/JAK1/JAK2,5,92,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,2.149120843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_TID_PATHWAY,TID PATHWAY,3.833564435,0.000127659,0.007093804,Mar-91,19/17332,3460/3459/3717,IFNGR2/IFNGR1/JAK2,3,19,2022_NatureCommunication_Frey_KPC_OTI,15,19,Tcells,pos,2.149120843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9674555,Signaling by CSF3 (G-CSF),4.156599154,0.000127659,0.007093804,Mar-91,19/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,19,2022_NatureCommunication_Frey_KPC_OTI,15,19,Tcells,pos,2.149120843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9670439,"Signaling by phosphorylated juxtamembrane, 
extracellular and kinase domain 
KIT mutants",3.043331166,0.000149618,0.008078968,Mar-91,20/17332,6772/3717/3265,STAT1/JAK2/HRAS,3,20,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.092644117,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_HEMOPOIESIS,REGULATION OF HEMOPOIESIS,2.787131965,0.000151997,0.008078968,Sep-91,374/17332,6772/841/1051/8772/5591/133522/939/64332/567,STAT1/CASP8/CEBPB/FADD/PRKDC/PPARGC1B/CD27/NFKBIZ/B2M,9,374,2022_NatureCommunication_Frey_KPC_OTI,6,19,Tcells,pos,2.092644117,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,EXTRINSIC APOPTOTIC SIGNALING PATHWAY,2.311908328,0.000162771,0.00846757,Jul-91,221/17332,3717/841/355/5371/8772/939/6498,JAK2/CASP8/FAS/PML/FADD/CD27/SKIL,7,221,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,2.072241214,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05160,Hepatitis C,3.66605986,0.000177446,0.009038652,Jun-91,157/17332,6772/3716/841/355/8772/3265,STAT1/JAK1/CASP8/FAS/FADD/HRAS,6,157,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,2.043896343,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,"POSITIVE REGULATION OF MYELOID 
CELL DIFFERENTIATION",2.683481433,0.000181549,0.009058912,May-91,100/17332,6772/841/8772/5591/133522,STAT1/CASP8/FADD/PRKDC/PPARGC1B,5,100,2022_NatureCommunication_Frey_KPC_OTI,3,19,Tcells,pos,2.04292395,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS,POSITIVE REGULATION OF HEMOPOIESIS,1.560791573,0.000190086,0.009295197,Jun-91,159/17332,841/8772/5591/133522/939/64332,CASP8/FADD/PRKDC/PPARGC1B/CD27/NFKBIZ,6,159,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,2.031741414,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05142,Chagas disease,3.414911643,0.000199204,0.009550067,May-91,102/17332,3460/3459/841/355/8772,IFNGR2/IFNGR1/CASP8/FAS/FADD,5,102,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.019993574,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04630,JAK-STAT signaling pathway,5.476891417,0.000210369,0.009598446,Jun-91,162/17332,6772/3460/3459/3716/3717/3265,STAT1/IFNGR2/IFNGR1/JAK1/JAK2/HRAS,6,162,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,2.01779907,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_HIVNEF_PATHWAY,HIVNEF PATHWAY,1.57505498,0.00021199,0.009598446,Apr-91,56/17332,841/355/8772/5591,CASP8/FAS/FADD/PRKDC,4,56,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,2.01779907,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_RESPONSE_TO_GAMMA_RADIATION,RESPONSE TO GAMMA RADIATION,1.231272536,0.00021199,0.009598446,Apr-91,56/17332,23028/5371/5591/3265,KDM1A/PML/PRKDC/HRAS,4,56,2022_NatureCommunication_Frey_KPC_OTI,2,19,Tcells,pos,2.01779907,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MYELOID_CELL_DIFFERENTIATION,MYELOID CELL DIFFERENTIATION,3.416354815,0.000219949,0.009777714,Sep-91,393/17332,6772/3717/841/1051/5371/8772/5591/133522/567,STAT1/JAK2/CASP8/CEBPB/PML/FADD/PRKDC/PPARGC1B/B2M,9,393,2022_NatureCommunication_Frey_KPC_OTI,8,19,Tcells,pos,2.009762687,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_GLEEVEC_PATHWAY,GLEEVEC PATHWAY,3.043331166,0.000229796,0.010033078,Mar-91,23/17332,6772/3717/3265,STAT1/JAK2/HRAS,3,23,2022_NatureCommunication_Frey_KPC_OTI,11,19,Tcells,pos,1.998565808,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04659,Th17 cell differentiation,5.626075088,0.000260095,0.010661362,May-91,108/17332,6772/3460/3459/3716/3717,STAT1/IFNGR2/IFNGR1/JAK1/JAK2,5,108,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,1.972187297,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_TPO_PATHWAY,TPO PATHWAY,3.043331166,0.000261629,0.010661362,Mar-91,24/17332,6772/3717/3265,STAT1/JAK2/HRAS,3,24,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,1.972187297,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_166208,mTORC1-mediated signalling,1.18624561,0.000261629,0.010661362,Mar-91,24/17332,2280/1975/29904,FKBP1A/EIF4B/EEF2K,3,24,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,1.972187297,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_5213460,RIPK1-mediated regulated necrosis,1.444157871,0.000261629,0.010661362,Mar-91,24/17332,841/355/8772,CASP8/FAS/FADD,3,24,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,1.972187297,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEURON_APOPTOTIC_PROCESS,NEURON APOPTOTIC PROCESS,2.462805536,0.000269617,0.010806763,Jul-91,240/17332,3717/1051/5582/355/8772/6418/3265,JAK2/CEBPB/PRKCG/FAS/FADD/SET/HRAS,7,240,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,1.966304376,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_AR_PATHWAY,AR PATHWAY,1.648565931,0.000295241,0.011314919,Apr-91,61/17332,841/23028/5591/7050,CASP8/KDM1A/PRKDC/TGIF1,4,61,2022_NatureCommunication_Frey_KPC_OTI,1,19,Tcells,pos,1.94634855,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_8854691,Interleukin-20 family signaling,4.156599154,0.000296178,0.011314919,Mar-91,25/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,25,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,1.94634855,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9705462,"Inactivation of CSF3 (G-CSF) 
signaling",4.156599154,0.000296178,0.011314919,Mar-91,25/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,25,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,1.94634855,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_RESPONSE_TO_DNA_DAMAGE_STIMULUS,"REGULATION OF RESPONSE TO 
DNA DAMAGE STIMULUS",1.733068032,0.000313143,0.011778996,Jul-91,246/17332,23028/5582/2072/5371/5591/51366/6498,KDM1A/PRKCG/ERCC4/PML/PRKDC/UBR5/SKIL,7,246,2022_NatureCommunication_Frey_KPC_OTI,3,19,Tcells,pos,1.928891725,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_IL27_PATHWAY,IL27 PATHWAY,4.156599154,0.00033354,0.012200055,Mar-91,26/17332,6772/3716/3717,STAT1/JAK1/JAK2,3,26,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,1.913638226,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,"ANTIGEN PROCESSING AND PRESENTATION 
OF PEPTIDE ANTIGEN",1.485703478,0.000334316,0.012200055,Apr-91,63/17332,6890/6891/6892/567,TAP1/TAP2/TAPBP/B2M,4,63,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,1.913638226,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_IL4_2PATHWAY,IL4 2PATHWAY,2.808418147,0.000355182,0.012770898,Apr-91,64/17332,3716/3717/1051/54625,JAK1/JAK2/CEBPB/PARP14,4,64,2022_NatureCommunication_Frey_KPC_OTI,7,19,Tcells,pos,1.893778569,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_EGF_PATHWAY,EGF PATHWAY,3.393237116,0.000373811,0.013159333,Mar-91,27/17332,6772/3716/3265,STAT1/JAK1/HRAS,3,27,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,1.880766127,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,"CELLULAR RESPONSE TO INTERFERON 
GAMMA",3.859099519,0.00037675,0.013159333,May-91,117/17332,6772/3716/3717/201626/54625,STAT1/JAK1/JAK2/PDE12/PARP14,5,117,2022_NatureCommunication_Frey_KPC_OTI,7,19,Tcells,pos,1.880766127,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9013957,"TLR3-mediated TICAM1-dependent programmed cell 
death",1.165025225,0.000403412,0.013892135,Feb-91,6/17332,841/8772,CASP8/FADD,2,6,2022_NatureCommunication_Frey_KPC_OTI,6,19,Tcells,pos,1.85723101,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_PDGF_PATHWAY,PDGF PATHWAY,3.393237116,0.000417082,0.014163401,Mar-91,28/17332,6772/3716/3265,STAT1/JAK1/HRAS,3,28,2022_NatureCommunication_Frey_KPC_OTI,9,19,Tcells,pos,1.848832449,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION,"POSITIVE REGULATION OF CELL 
PROJECTION ORGANIZATION",1.89955874,0.000425495,0.014251177,Aug-91,341/17332,23028/23654/1982/55754/3265/6498/6239/29904,KDM1A/PLXNB2/EIF4G2/TMEM30A/HRAS/SKIL/RREB1/EEF2K,8,341,2022_NatureCommunication_Frey_KPC_OTI,1,19,Tcells,pos,1.846149253,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MAMMARY_GLAND_EPITHELIUM_DEVELOPMENT,MAMMARY GLAND EPITHELIUM DEVELOPMENT,1.934453978,0.000448036,0.014803352,Apr-91,68/17332,3717/1051/5371/6239,JAK2/CEBPB/PML/RREB1,4,68,2022_NatureCommunication_Frey_KPC_OTI,2,19,Tcells,pos,1.829639946,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_BIOPEPTIDES_PATHWAY,BIOPEPTIDES PATHWAY,3.043331166,0.000463444,0.014909486,Mar-91,29/17332,6772/3717/3265,STAT1/JAK2/HRAS,3,29,2022_NatureCommunication_Frey_KPC_OTI,8,19,Tcells,pos,1.826537325,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_TNFR1_PATHWAY,TNFR1 PATHWAY,1.313584312,0.000463444,0.014909486,Mar-91,29/17332,841/8772/5591,CASP8/FADD/PRKDC,3,29,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,1.826537325,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_MTOR_4PATHWAY,MTOR 4PATHWAY,0.964521804,0.000473712,0.01504191,Apr-91,69/17332,5371/3265/1975/29904,PML/HRAS/EIF4B/EEF2K,4,69,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,1.822697024,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEURON_DEATH,NEURON DEATH,2.739409338,0.000524825,0.016451254,Aug-91,352/17332,3717/841/1051/5582/355/8772/6418/3265,JAK2/CASP8/CEBPB/PRKCG/FAS/FADD/SET/HRAS,8,352,2022_NatureCommunication_Frey_KPC_OTI,3,19,Tcells,pos,1.783800982,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_IB,"ANTIGEN PROCESSING AND PRESENTATION 
OF PEPTIDE ANTIGEN VIA 
MHC CLASS IB",0.738351011,0.000562846,0.0173108,Feb-91,7/17332,6891/567,TAP2/B2M,2,7,2022_NatureCommunication_Frey_KPC_OTI,14,19,Tcells,pos,1.761682866,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY,"POSITIVE REGULATION OF PEPTIDASE 
ACTIVITY",2.50300767,0.000566407,0.0173108,Jun-91,195/17332,3717/841/23198/355/5371/8772,JAK2/CASP8/PSME4/FAS/PML/FADD,6,195,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,1.761682866,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04650,"Natural killer cell mediated 
cytotoxicity",3.25854919,0.000631794,0.019070828,May-91,131/17332,3460/3459/5582/355/3265,IFNGR2/IFNGR1/PRKCG/FAS/HRAS,5,131,2022_NatureCommunication_Frey_KPC_OTI,10,19,Tcells,pos,1.719630451,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_EPO_PATHWAY,EPO PATHWAY,3.043331166,0.000681574,0.020322545,Mar-91,33/17332,6772/3717/3265,STAT1/JAK2/HRAS,3,33,2022_NatureCommunication_Frey_KPC_OTI,8,19,Tcells,pos,1.692021902,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,"POSITIVE REGULATION OF APOPTOTIC 
SIGNALING PATHWAY",2.048460553,0.000700093,0.020485228,May-91,134/17332,3717/355/5371/8772/6498,JAK2/FAS/PML/FADD/SKIL,5,134,2022_NatureCommunication_Frey_KPC_OTI,5,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,"HOMEOSTASIS OF NUMBER OF 
CELLS",3.141484833,0.000722366,0.020485228,Jul-91,283/17332,6772/3717/355/8772/5591/6498/567,STAT1/JAK2/FAS/FADD/PRKDC/SKIL/B2M,7,283,2022_NatureCommunication_Frey_KPC_OTI,6,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_STEROID_HORMONE_MEDIATED_SIGNALING_PATHWAY,"STEROID HORMONE MEDIATED SIGNALING 
PATHWAY",2.085962117,0.000724043,0.020485228,May-91,135/17332,3717/23028/133522/51366/29966,JAK2/KDM1A/PPARGC1B/UBR5/STRN3,5,135,2022_NatureCommunication_Frey_KPC_OTI,3,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_STAT3_PATHWAY,STAT3 PATHWAY,2.972168615,0.000747897,0.020485228,Feb-91,8/17332,3716/3717,JAK1/JAK2,2,8,2022_NatureCommunication_Frey_KPC_OTI,12,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NECROPTOTIC_SIGNALING_PATHWAY,NECROPTOTIC SIGNALING PATHWAY,0.993825038,0.000747897,0.020485228,Feb-91,8/17332,355/8772,FAS/FADD,2,8,2022_NatureCommunication_Frey_KPC_OTI,4,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_75158,TRAIL  signaling,1.165025225,0.000747897,0.020485228,Feb-91,8/17332,841/8772,CASP8/FADD,2,8,2022_NatureCommunication_Frey_KPC_OTI,7,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,REGULATION OF LEUKOCYTE DIFFERENTIATION,1.758055331,0.000752887,0.020485228,Jul-91,285/17332,841/1051/8772/5591/133522/939/64332,CASP8/CEBPB/FADD/PRKDC/PPARGC1B/CD27/NFKBIZ,7,285,2022_NatureCommunication_Frey_KPC_OTI,2,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04612,Antigen processing and presentation,1.485703478,0.000754057,0.020485228,Apr-91,78/17332,6890/6891/6892/567,TAP1/TAP2/TAPBP/B2M,4,78,2022_NatureCommunication_Frey_KPC_OTI,13,19,Tcells,pos,1.688559188,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa01521,"EGFR tyrosine kinase inhibitor 
resistance",2.964445845,0.000791114,0.021255742,Apr-91,79/17332,3716/3717/5582/3265,JAK1/JAK2/PRKCG/HRAS,4,79,2022_NatureCommunication_Frey_KPC_OTI,6,19,Tcells,pos,1.672523724,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,"REGULATION OF HOMOTYPIC CELL 
CELL ADHESION",2.845721297,0.000811438,0.021259096,Mar-91,35/17332,3716/3717/288,JAK1/JAK2/ANK3,3,35,2022_NatureCommunication_Frey_KPC_OTI,8,19,Tcells,pos,1.672455197,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_HIV_NEF_PATHWAY,HIV NEF PATHWAY,1.444157871,0.000811438,0.021259096,Mar-91,35/17332,841/355/8772,CASP8/FAS/FADD,3,35,2022_NatureCommunication_Frey_KPC_OTI,11,19,Tcells,pos,1.672455197,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_RESPONSE_TO_INTERFERON_GAMMA,RESPONSE TO INTERFERON GAMMA,3.859099519,0.000826018,0.021259096,May-91,139/17332,6772/3716/3717/201626/54625,STAT1/JAK1/JAK2/PDE12/PARP14,5,139,2022_NatureCommunication_Frey_KPC_OTI,7,19,Tcells,pos,1.672455197,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05162,Measles,3.678247321,0.000826018,0.021259096,May-91,139/17332,6772/3716/841/355/8772,STAT1/JAK1/CASP8/FAS/FADD,5,139,2022_NatureCommunication_Frey_KPC_OTI,15,19,Tcells,pos,1.672455197,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
